Complexity,Loss,Equation
1,0.00056811975,"x5"
5,0.000567212,"(x5 - (0.00034246515 * x3))"
6,0.0005622259,"(x5 - sin(0.00034246515 * x2))"
7,0.00048362053,"(x5 - (atanh_clip(x2) * square(0.06223958)))"
9,0.000478747,"(x5 - (square(erf(-0.0073222844 + -0.17090961)) * x2))"
